Timestamp,Script,Model,Augmentation,Optimizer,LR,BatchSize,Momentum,WeightDecay,Epochs,Final_TrAcc,Final_TeAcc,Total_Time,Avg_Epoch_Time,PyTorch_Ref_Epoch_Time,Speedup(PyTorch/Ours)
2025-12-22 20:59:20,train_cnn_fused.py,SimpleCNN_Fused,None,SGD,0.01,64,0.9,0.0,5,0.7088,0.6718,20.17,4.0334,5.6528,1.4015
2025-12-23 14:36:26,train_cnn.py,SimpleCNN,RandomCrop+Flip,SGD,0.01,64,0.9,0.0,5,0.5962,0.6550,34.02,6.8031,6.3171,0.9286
2025-12-23 14:29:23,train_vgg.py,VGG,RandomCrop+Flip,SGD,0.01,64,0.9,0.0005,5,0.6554,0.7064,45.93,9.1852,8.6933,0.9464
2025-12-22 16:59:42,train_resnet.py,ResNet,RandomCrop+Flip,SGD,0.01,64,0.9,0.0005,5,0.7052,0.6805,214.47,42.8937,15.8368,0.3692


